model_id,scope,horizon,n_rows,n_subjects,stable_metrics_reported,accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix
phase_c_horizon_aware_random_forest,row_level,overall,210,197,True,0.5904761904761905,0.5550008426019548,0.5551530190239867,0.3302180685358256,0.7319723519051116,0.9474991595968243,0.5657759523809524,0.65625,0.4883720930232558,0.56,0.5862068965517241,0.7391304347826086,0.6538461538461539,0.4666666666666667,0.4375,0.45161290322580644,"[[42, 33, 11], [19, 68, 5], [3, 15, 14]]"
phase_c_horizon_aware_random_forest,first_follow_up,overall,197,197,True,0.5786802030456852,0.5502189381499726,0.5476096706180091,0.3130120583168774,0.7341451482434088,0.9486216350568084,0.5679738578680202,0.6451612903225806,0.47619047619047616,0.547945205479452,0.5700934579439252,0.7261904761904762,0.6387434554973822,0.4642857142857143,0.4482758620689655,0.45614035087719296,"[[40, 33, 11], [19, 61, 4], [3, 13, 13]]"
phase_c_horizon_aware_random_forest,horizon,0-12 months,0,0,False,,,,,,,,,,,,,,,,,
phase_c_horizon_aware_random_forest,horizon,12-24 months,28,28,True,0.5357142857142857,0.43333333333333335,0.41518661518661526,0.1078431372549018,0.5992877492877492,0.9739093813683072,0.5922678571428571,0.25,0.1,0.14285714285714285,0.5909090909090909,0.8666666666666667,0.7027027027027027,0.5,0.3333333333333333,0.4,"[[1, 8, 1], [2, 13, 0], [1, 1, 1]]"
phase_c_horizon_aware_random_forest,horizon,24-36 months,121,121,True,0.5702479338842975,0.5334295334295335,0.5340838023764852,0.300578034682081,0.7180907387845187,0.9574605487236674,0.5762024793388429,0.6060606060606061,0.4444444444444444,0.5128205128205128,0.5882352941176471,0.7272727272727273,0.6504065040650406,0.45,0.42857142857142855,0.43902439024390244,"[[20, 17, 8], [12, 40, 3], [1, 11, 9]]"
phase_c_horizon_aware_random_forest,horizon,>36 months,61,61,True,0.6557377049180327,0.6197458455522972,0.6163793103448275,0.43016014234875444,0.783736021197981,0.915616958056668,0.532933606557377,0.7777777777777778,0.6774193548387096,0.7241379310344828,0.5769230769230769,0.6818181818181818,0.625,0.5,0.5,0.5,"[[21, 8, 2], [5, 15, 2], [1, 3, 4]]"
