model,split,horizon,n_rows,accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix
hist_gradient_boosting,val,overall,2492,0.7223113964686998,0.7223745185132707,0.7289488181088903,0.5823341962932204,0.8987476914393309,0.6096217652758941,0.37221824455269104,0.8005464480874317,0.7408343868520859,0.7695338148391333,0.5840071877807727,0.7540603248259861,0.6582278481012658,0.8717156105100463,0.6722288438617402,0.7590847913862718,"[[586, 201, 4], [133, 650, 79], [13, 262, 564]]"
hist_gradient_boosting,val,0-12 months,616,0.775974025974026,0.7756459259164621,0.7825315469894679,0.6594912878029241,0.9222814433131751,0.5275735496178985,0.32110337093460595,0.84375,0.7894736842105263,0.8157099697885196,0.6643356643356644,0.8225108225108225,0.7350096711798839,0.9,0.7149532710280374,0.796875,"[[135, 36, 0], [24, 190, 17], [1, 60, 153]]"
hist_gradient_boosting,val,12-24 months,794,0.7178841309823678,0.7184768888346905,0.7247637461419775,0.5763467241523053,0.9016375851028006,0.607422046655598,0.3713765401154326,0.8355555555555556,0.7401574803149606,0.7849686847599165,0.5686813186813187,0.7695167286245354,0.6540284360189573,0.8536585365853658,0.6457564575645757,0.7352941176470589,"[[188, 63, 3], [35, 207, 27], [2, 94, 175]]"
hist_gradient_boosting,val,24-36 months,521,0.7197696737044146,0.7195759011775346,0.7265786411520191,0.5791832173403113,0.8980071567038048,0.613074906011536,0.3748318878321179,0.8211920529801324,0.7251461988304093,0.7701863354037267,0.5684647302904564,0.7784090909090909,0.657074340527578,0.8837209302325582,0.6551724137931034,0.7524752475247525,"[[124, 46, 1], [25, 137, 14], [2, 58, 114]]"
hist_gradient_boosting,val,>36 months,561,0.6720142602495544,0.6714180681922617,0.6783476166973273,0.507211090901279,0.8631234822364403,0.6996203233981241,0.4271083823839607,0.7091836734693877,0.7128205128205128,0.710997442455243,0.5225225225225225,0.6236559139784946,0.5686274509803921,0.8531468531468531,0.6777777777777778,0.7554179566563467,"[[139, 56, 0], [49, 116, 21], [8, 50, 122]]"
hist_gradient_boosting,test,overall,5148,0.7591297591297591,0.7601437993947001,0.7567513553923385,0.6252577207322559,0.903946002866491,0.5660965263821529,0.3427955552556501,0.7784431137724551,0.8377270064440538,0.8069977426636569,0.7608596250571559,0.7178602243313201,0.7387347391786904,0.7241992882562278,0.7248441674087266,0.7245215843346684,"[[1430, 257, 20], [364, 1664, 290], [43, 266, 814]]"
hist_gradient_boosting,test,0-12 months,1207,0.8094449047224523,0.8071046595554039,0.8104064674935717,0.7017489388080915,0.9257025119317532,0.48970740842017846,0.29072920217999243,0.8359375,0.8469656992084432,0.8414154652686763,0.7857142857142857,0.8029197080291971,0.7942238267148014,0.8212927756653993,0.7714285714285715,0.7955801104972375,"[[321, 58, 0], [61, 440, 47], [2, 62, 216]]"
hist_gradient_boosting,test,12-24 months,1623,0.7603203943314849,0.7643661216691823,0.7626392276408099,0.6303878969682707,0.9043753308079131,0.5642156363250761,0.3403161918824648,0.7765567765567766,0.8297455968688845,0.8022705771050141,0.7463768115942029,0.7202797202797203,0.7330960854092526,0.7622739018087855,0.743073047858942,0.7525510204081632,"[[424, 85, 2], [110, 515, 90], [12, 90, 295]]"
hist_gradient_boosting,test,24-36 months,1088,0.7417279411764706,0.7425925925925926,0.736683547336666,0.5958972189912235,0.9044011240264629,0.5655726076024737,0.3490200364187469,0.7512437810945274,0.8388888888888889,0.7926509186351706,0.758695652173913,0.6924603174603174,0.7240663900414938,0.6902654867256637,0.6964285714285714,0.6933333333333334,"[[302, 53, 5], [90, 349, 65], [10, 58, 156]]"
hist_gradient_boosting,test,>36 months,1230,0.7235772357723578,0.7178646973906836,0.7073929387365929,0.5662869516879756,0.8779597540901015,0.6440025211586,0.3916539775414623,0.7584158415841584,0.838074398249453,0.7962577962577962,0.7547169811320755,0.6533575317604355,0.7003891050583657,0.592741935483871,0.6621621621621622,0.625531914893617,"[[383, 61, 13], [103, 360, 88], [19, 56, 147]]"
