accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,model,seed,n_features,features,task_mode,skipped
0.9115549215406562,0.8671743562738823,0.8102977251028606,0.8390945877405047,0.9652562402448598,logistic_regression,42,20.0,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,
0.9457917261055635,0.8193219103171709,0.8344949619095322,0.8948490315042376,0.9760901056114548,random_forest,42,20.0,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,
0.9400855920114123,0.7896922806875414,0.8099712306943362,0.8829092528813344,0.9685296461882448,hist_gradient_boosting,42,20.0,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,
,,,,,xgboost,42,,,,xgboost is optional and not installed.
0.9144736842105263,0.8727253612879267,0.8242371163118825,0.844407978658066,0.9762338768539623,logistic_regression,43,20.0,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,
0.95,0.8077610710285831,0.8372927643045665,0.9022289629770062,0.9762274575906096,random_forest,43,20.0,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,
0.9421052631578948,0.7755581854120428,0.8033276523869493,0.8860895750160102,0.9708463738247729,hist_gradient_boosting,43,20.0,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,
,,,,,xgboost,43,,,,xgboost is optional and not installed.
0.9024725274725275,0.8270079640239629,0.7881508979115979,0.818958753642681,0.9661190747244134,logistic_regression,44,20.0,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,
0.9395604395604396,0.7920998149639963,0.8135279017477357,0.8803812027604337,0.9738371712068542,random_forest,44,20.0,AGE|PTGENDER|PTEDUCAT|MMSE|ADAS11|ADAS13|CDRSB|RAVLT_immediate|RAVLT_learning|RAVLT_forgetting|RAVLT_perc_forgetting|FAQ_bl|Ventricles|Hippocampus|WholeBrain|Entorhinal|Fusiform|MidTemp|ICV|APOE4,all_visits,
