method,split,n_rows,log_loss,brier_score,macro_f1,roc_auc_ovr,ece,classwise_ece_CN,classwise_ece_MCI,classwise_ece_AD,selected_on_validation
uncalibrated,validation,2006,0.5426609519621829,0.275477713532462,0.8204160477478698,0.9231047390621518,0.07930411115318535,0.05546736094643684,0.08282457043120837,0.04548928399101126,False
uncalibrated,locked_temporal_test,893,0.37274493277077264,0.19032223261839187,0.8813447344437649,0.9583458817376157,0.04702620806720036,0.036154381416284034,0.05541389534284558,0.032487275943995385,False
sigmoid,validation,2006,0.5057998471732218,0.27038104523635187,0.8211550531336993,0.9225104258849909,0.013143332578121947,0.018527221637978587,0.04336092539056323,0.03113365866104835,False
sigmoid,locked_temporal_test,893,0.389287735323048,0.1944627711099279,0.8812412636707164,0.9577173214194943,0.06103573267327789,0.05745075201522531,0.04160874179769306,0.05031685060150305,False
isotonic,validation,2006,0.443032592825691,0.2521716733002401,0.8200552068052263,0.9287651227623307,0.008186033672326011,0.004282286031979257,0.011533524367385094,0.00772834665678912,True
isotonic,locked_temporal_test,893,0.3518244924825336,0.19056389594720433,0.879276796187623,0.9582686338327436,0.03889223488544836,0.03720014435949795,0.04726973593573503,0.011804466585660863,True
