accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1
0.8988439306358381,0.8987786251302062,0.8963219773517451,0.837185227013001,0.9772081806700668,0.2517640374109713,0.1511394584589248,0.9065420560747663,0.923809523809524,0.9150943396226416,0.9058823529411764,0.8901734104046243,0.8979591836734694,0.8695652173913043,0.8823529411764706,0.8759124087591241,"[[97, 8, 0], [10, 154, 9], [0, 8, 60]]",logistic_regression,42,baseline_only,False,69,1211,173,346,1211,173,346,0.940655149421107,0.8467964970958984
0.9248554913294798,0.9170787390100548,0.9222497160066992,0.8775971154500306,0.981250955421745,0.3270904328012574,0.1664557803468208,0.9893617021276596,0.8857142857142857,0.9346733668341708,0.9016393442622952,0.953757225433526,0.9269662921348316,0.8985507246376812,0.9117647058823528,0.9051094890510948,"[[93, 12, 0], [1, 165, 7], [0, 6, 62]]",random_forest,42,baseline_only,False,69,1211,173,346,1211,173,346,1.0,0.8868221207025689
0.9190751445086706,0.8894237463771635,0.9115620018845826,0.8655602120396325,0.9836421422846214,0.3261930699982308,0.1326210099806765,1.0,0.8857142857142857,0.9393939393939394,0.868020304568528,0.9884393063583816,0.9243243243243244,0.9642857142857144,0.7941176470588235,0.8709677419354839,"[[93, 12, 0], [0, 171, 2], [0, 14, 54]]",hist_gradient_boosting,42,baseline_only,False,69,1211,173,346,1211,173,346,1.0,0.8982604764971475
0.8930635838150289,0.894925060583,0.8899664311045492,0.8283661129657188,0.975762447616952,0.2644575366127072,0.1599596637092384,0.9065420560747663,0.923809523809524,0.9150943396226416,0.9047619047619048,0.8786127167630058,0.8914956011730205,0.8450704225352113,0.8823529411764706,0.8633093525179856,"[[97, 8, 0], [10, 152, 11], [0, 8, 60]]",logistic_regression,42,baseline_only,True,69,1211,173,346,1211,173,346,0.940385266710036,0.8479883431475574
0.9219653179190752,0.9104494206160306,0.9177528789293496,0.8726432456750235,0.9801333546238798,0.3806375093858957,0.196978901734104,0.9894736842105264,0.8952380952380953,0.94,0.8967391304347826,0.953757225433526,0.9243697478991596,0.8955223880597015,0.8823529411764706,0.8888888888888888,"[[94, 11, 0], [1, 165, 7], [0, 8, 60]]",random_forest,42,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.8927944347640316
0.9190751445086706,0.8936467457888743,0.9114542060444932,0.8662709641797226,0.9843733470174146,0.3140054588213322,0.1305132294589756,1.0,0.8952380952380953,0.9447236180904522,0.8756476683937824,0.976878612716763,0.9234972677595628,0.9322033898305084,0.8088235294117647,0.8661417322834646,"[[94, 11, 0], [0, 169, 4], [0, 13, 55]]",hist_gradient_boosting,42,baseline_only,True,69,1211,173,346,1211,173,346,1.0,0.8838648010755596
0.8930635838150289,0.8905112719461581,0.8854003270422658,0.8286509710492149,0.9731382933040472,0.284935327051085,0.1627580133999771,0.8956521739130435,0.9809523809523808,0.9363636363636364,0.9146341463414634,0.8670520231213873,0.8902077151335311,0.835820895522388,0.8235294117647058,0.8296296296296296,"[[103, 2, 0], [12, 150, 11], [0, 12, 56]]",logistic_regression,43,baseline_only,False,69,1211,173,346,1211,173,346,0.9397458696853496,0.9274813413801491
0.9104046242774566,0.8898825040613548,0.9000106859504277,0.8534058604854582,0.9739390947502612,0.3556706203336665,0.1817352601156069,0.98,0.9333333333333332,0.9560975609756096,0.8858695652173914,0.9421965317919077,0.9131652661064426,0.8709677419354839,0.7941176470588235,0.8307692307692308,"[[98, 7, 0], [2, 163, 8], [0, 14, 54]]",random_forest,43,baseline_only,False,69,1211,173,346,1211,173,346,1.0,0.9282790655618604
0.9335260115606936,0.9214204757047328,0.9277424287636772,0.8918029666489918,0.9797659390834714,0.3671832411954024,0.1150994950978785,0.9801980198019802,0.9428571428571428,0.9611650485436892,0.9166666666666666,0.953757225433526,0.9348441926345608,0.9076923076923076,0.8676470588235294,0.8872180451127819,"[[99, 6, 0], [2, 165, 6], [0, 9, 59]]",hist_gradient_boosting,43,baseline_only,False,69,1211,173,346,1211,173,346,1.0,0.9489354366836146
0.884393063583815,0.8864582827350594,0.878477744118725,0.8154445200090678,0.9688093160927292,0.3110864556516986,0.1758659954739762,0.8793103448275862,0.9714285714285714,0.9230769230769232,0.9130434782608696,0.8497109826589595,0.8802395209580839,0.8260869565217391,0.8382352941176471,0.8321167883211679,"[[102, 3, 0], [14, 147, 12], [0, 11, 57]]",logistic_regression,43,baseline_only,True,69,1211,173,346,1211,173,346,0.9385902337567638,0.9184458968772694
