masked_modality,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_ovr_mean,roc_auc_ovr_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,train_macro_f1_mean,train_macro_f1_std,val_macro_f1_mean,val_macro_f1_std,absolute_drop,relative_drop
all_pet,0.892485549132948,0.01659271687214722,0.8924287171516004,0.009390461007280054,0.8872358991529048,0.01639121631404615,0.9729589355780801,0.003982217819386308,0.29061555310452747,0.03218293332655741,0.1633970966561626,0.016877037472435238,,,,,-0.006203916186667424,-0.006968023538972555
cognitive,0.3439306358381503,0.08752979760215898,0.3524460420006153,0.020171379114726634,0.2627711046079223,0.07068419172232175,0.5186731765268476,0.03513110297133535,2.1782406632664655,0.914412978008719,0.9371306432928359,0.23669195928742487,,,,,0.618260878358315,0.7014304109561399
genetic,0.8190751445086706,0.025629825754214314,0.8350218314686183,0.04102996654254686,0.8162785848947953,0.027016979555511068,0.9644828748707088,0.01158025948030022,0.48100835260052843,0.06726574075566295,0.27586036622654,0.03995482068188742,,,,,0.06475339807144201,0.07339245763113007
mri_structural,0.7976878612716763,0.08270139175250599,0.8468131992681466,0.03907665094144004,0.7969911498098511,0.08115853121918916,0.9672077588272007,0.014198695294472834,0.581453144208425,0.3329048001552448,0.3061006637430882,0.14235751235124894,,,,,0.08404083315638619,0.09579119771175301
none,0.8855491329479769,0.008296358436073627,0.8926224748088061,0.007746384602742376,0.8810319829662374,0.008444455542020073,0.9727595066092098,0.0029292143922708255,0.29922813323606523,0.02850835014876635,0.17227241204323235,0.012433632788312103,0.9402119739069861,0.0026405073852834443,0.8840531933881545,0.024030307188788375,0.0,0.0
pet_amyloid,0.8895953757225433,0.009029190376770701,0.8974505486202187,0.006199636169078769,0.8854669568370035,0.00909306951382425,0.9724854598146655,0.002658285926291078,0.30225909635496506,0.03233494111252853,0.17338969202234988,0.015461413686325602,,,,,-0.00443497387076619,-0.005031612928280564
pet_fdg,0.8895953757225433,0.014087927869310898,0.8890622992935132,0.007823902569183956,0.8845482900947793,0.014107427257795518,0.9732821442532821,0.004336638825924997,0.28707247474626285,0.03152459315393054,0.16176396198022058,0.015898950685816118,,,,,-0.0035163071285418956,-0.003961123947845443
