class,feature,importance
MCI,RAVLT_learning_bl,0.00274866500907478
MCI,RAVLT_forgetting_bl,0.0
MCI,RAVLT_perc_forgetting_bl,-0.0011162926564635505
MCI,FAQ_bl,0.00916368732898117
MCI,MOCA_bl,0.005492084474239101
MCI,FDG_bl,0.0026280174991344385
MCI,AV45_bl,0.0005213252400581384
MCI,ST101SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004495431131253946
MCI,ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.002869652371155773
MCI,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0073594981063586085
MCI,ST102TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.000996993195125806
MCI,ST102TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0026280174991344385
MCI,ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.002869652371155773
MCI,ST103SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,-0.0011068097651045772
MCI,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.009101751302491948
MCI,ST103TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004501684871626351
MCI,ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.002115999068960391
MCI,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
MCI,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005366543076963344
MCI,ST104TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007354633523737775
MCI,ST105CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.006488737817224255
MCI,ST105SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0016320381645847555
MCI,ST105TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0031308629576157765
MCI,ST105TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0026280174991344385
MCI,ST106CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
MCI,ST106SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
MCI,ST106TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0033791559433389664
MCI,ST106TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004748284129242368
MCI,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0036194252982091335
MCI,ST107SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0016369320519201702
MCI,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.00474231154718574
MCI,ST107TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,-0.004069328500157547
MCI,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
MCI,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.002869652371155773
MCI,ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0018729990281706188
MCI,ST108TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0007609262188753574
MCI,ST109CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005739304742311509
MCI,ST109SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005487530439044337
MCI,ST109TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.000996993195125806
MCI,ST109TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.003866645566281579
MCI,ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
MCI,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0018729990281706188
MCI,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004370241390553235
MCI,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005366543076963344
MCI,ST110TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.006362844763373454
MCI,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
MCI,ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0008760058330448128
MCI,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.002623123611799024
MCI,ST111TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0008760058330448128
MCI,ST112SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.000996993195125806
MCI,ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
MCI,ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0
MCI,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005366543076963344
MCI,ST113TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.004621324185104747
MCI,ST114CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,-0.000991407799074695
MCI,ST114SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.0008760058330448128
AD,AGE,0.013158417809580639
AD,PTGENDER,0.017307692307692357
AD,PTEDUCAT,0.015350020711284737
AD,PTETHCAT,0.0
AD,PTRACCAT,0.0
AD,PTMARRY,0.0
AD,APOE4,0.005724508050089468
AD,ADAS13,0.009802771047849842
AD,MMSE,0.4847121432027093
AD,ICV,0.0
AD,CDRSB_bl,0.3792733757530112
AD,ADAS11_bl,0.0004608398309186394
AD,RAVLT_immediate_bl,0.0022705030338618184
AD,RAVLT_learning_bl,0.005132757058906552
AD,RAVLT_forgetting_bl,0.0
AD,RAVLT_perc_forgetting_bl,0.002862254025044734
AD,FAQ_bl,0.02599720063134703
AD,MOCA_bl,0.005128205128205147
AD,FDG_bl,0.0
AD,AV45_bl,0.0
AD,ST101SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.015350020711284737
AD,ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.005724508050089468
AD,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,0.007398708162066965
