model,seed,task_mode,missing_indicators,class_id,bin,n,mean_predicted,observed_rate
hist_gradient_boosting,42,baseline_only,False,1,8,3,0.8785108734047121,0.3333333333333333
hist_gradient_boosting,42,baseline_only,False,1,9,178,0.9953469247064608,0.9157303370786516
hist_gradient_boosting,42,baseline_only,False,2,0,277,0.0017291939153355,0.0288808664259927
hist_gradient_boosting,42,baseline_only,False,2,1,2,0.1078462301709852,0.5
hist_gradient_boosting,42,baseline_only,False,2,2,4,0.2431847232413723,0.5
hist_gradient_boosting,42,baseline_only,False,2,3,3,0.3339177697040142,0.3333333333333333
hist_gradient_boosting,42,baseline_only,False,2,4,4,0.4376984690765839,0.5
hist_gradient_boosting,42,baseline_only,False,2,7,1,0.7483040530090481,1.0
hist_gradient_boosting,42,baseline_only,False,2,8,1,0.8606096185823747,1.0
hist_gradient_boosting,42,baseline_only,False,2,9,54,0.9960725741031992,0.9629629629629628
logistic_regression,42,baseline_only,True,0,0,205,0.0061922252455178,0.0048780487804878
logistic_regression,42,baseline_only,True,0,1,15,0.1565889617852098,0.1333333333333333
logistic_regression,42,baseline_only,True,0,2,9,0.2430689483124352,0.2222222222222222
logistic_regression,42,baseline_only,True,0,3,5,0.3312940245059935,0.4
logistic_regression,42,baseline_only,True,0,4,6,0.4563264727190121,0.3333333333333333
logistic_regression,42,baseline_only,True,0,5,3,0.5603343980289702,0.0
logistic_regression,42,baseline_only,True,0,6,4,0.6561903290209895,0.25
logistic_regression,42,baseline_only,True,0,7,6,0.7386197708867339,0.3333333333333333
logistic_regression,42,baseline_only,True,0,8,15,0.8612131207128173,1.0
logistic_regression,42,baseline_only,True,0,9,78,0.9708528243552826,1.0
logistic_regression,42,baseline_only,True,1,0,134,0.0238292235943544,0.0298507462686567
logistic_regression,42,baseline_only,True,1,1,22,0.1318543842812,0.0909090909090909
logistic_regression,42,baseline_only,True,1,2,7,0.2637938737848017,0.5714285714285714
logistic_regression,42,baseline_only,True,1,3,6,0.3507622251390445,0.8333333333333334
logistic_regression,42,baseline_only,True,1,4,9,0.4557160579479267,0.6666666666666666
logistic_regression,42,baseline_only,True,1,5,6,0.5496394984129537,0.8333333333333334
logistic_regression,42,baseline_only,True,1,6,13,0.653331299789018,0.8461538461538461
logistic_regression,42,baseline_only,True,1,7,16,0.755685304440402,0.875
logistic_regression,42,baseline_only,True,1,8,29,0.8440064284490012,0.7586206896551724
logistic_regression,42,baseline_only,True,1,9,104,0.9716093373308894,0.9615384615384616
logistic_regression,42,baseline_only,True,2,0,247,0.0085767627054906,0.0121457489878542
logistic_regression,42,baseline_only,True,2,1,13,0.1535103609895936,0.3846153846153846
logistic_regression,42,baseline_only,True,2,2,6,0.2507908395815341,0.0
logistic_regression,42,baseline_only,True,2,3,8,0.3554184294802295,0.0
logistic_regression,42,baseline_only,True,2,4,1,0.4509096010929536,0.0
logistic_regression,42,baseline_only,True,2,5,5,0.5406371711869615,0.4
logistic_regression,42,baseline_only,True,2,6,2,0.6348016088626642,0.0
logistic_regression,42,baseline_only,True,2,7,1,0.7205273916956951,1.0
logistic_regression,42,baseline_only,True,2,8,7,0.882823499673958,0.7142857142857143
logistic_regression,42,baseline_only,True,2,9,56,0.9835567476574412,0.9285714285714286
random_forest,42,baseline_only,True,0,0,119,0.0314285714285714,0.0
random_forest,42,baseline_only,True,0,1,61,0.1498360655737704,0.0
random_forest,42,baseline_only,True,0,2,38,0.2430263157894736,0.131578947368421
random_forest,42,baseline_only,True,0,3,24,0.343125,0.1666666666666666
random_forest,42,baseline_only,True,0,4,10,0.444,0.3
random_forest,42,baseline_only,True,0,5,5,0.53,0.8
random_forest,42,baseline_only,True,0,6,6,0.6625000000000001,1.0
random_forest,42,baseline_only,True,0,7,33,0.7592424242424243,1.0
random_forest,42,baseline_only,True,0,8,36,0.8393055555555555,1.0
random_forest,42,baseline_only,True,0,9,14,0.9214285714285714,1.0
random_forest,42,baseline_only,True,1,0,24,0.0720833333333333,0.0
random_forest,42,baseline_only,True,1,1,62,0.1544354838709677,0.0161290322580645
random_forest,42,baseline_only,True,1,2,44,0.2375,0.0
random_forest,42,baseline_only,True,1,3,14,0.3382142857142857,0.0
random_forest,42,baseline_only,True,1,4,21,0.4497619047619047,0.3809523809523809
random_forest,42,baseline_only,True,1,5,29,0.5491379310344828,0.7586206896551724
random_forest,42,baseline_only,True,1,6,74,0.6570270270270271,0.9054054054054054
random_forest,42,baseline_only,True,1,7,70,0.739357142857143,0.9571428571428572
random_forest,42,baseline_only,True,1,8,7,0.8228571428571428,1.0
random_forest,42,baseline_only,True,1,9,1,0.925,1.0
random_forest,42,baseline_only,True,2,0,180,0.0248055555555555,0.0
random_forest,42,baseline_only,True,2,1,45,0.1394444444444444,0.0444444444444444
random_forest,42,baseline_only,True,2,2,32,0.2459375,0.0
random_forest,42,baseline_only,True,2,3,10,0.3419999999999999,0.1
random_forest,42,baseline_only,True,2,4,13,0.4515384615384615,0.4615384615384615
random_forest,42,baseline_only,True,2,5,14,0.5396428571428571,0.5714285714285714
random_forest,42,baseline_only,True,2,6,9,0.6466666666666667,1.0
random_forest,42,baseline_only,True,2,7,11,0.7586363636363637,1.0
random_forest,42,baseline_only,True,2,8,22,0.8436363636363637,0.9545454545454546
random_forest,42,baseline_only,True,2,9,10,0.9315,1.0
hist_gradient_boosting,42,baseline_only,True,0,0,246,0.0016725966986448,0.032520325203252
hist_gradient_boosting,42,baseline_only,True,0,1,3,0.1490979131950245,0.3333333333333333
hist_gradient_boosting,42,baseline_only,True,0,2,2,0.2512061281543446,0.5
hist_gradient_boosting,42,baseline_only,True,0,3,1,0.3929520090502257,1.0
hist_gradient_boosting,42,baseline_only,True,0,6,2,0.6673764298774156,1.0
hist_gradient_boosting,42,baseline_only,True,0,9,92,0.9999779980493848,1.0
hist_gradient_boosting,42,baseline_only,True,1,0,145,0.0007812962735451,0.0068965517241379
hist_gradient_boosting,42,baseline_only,True,1,1,2,0.1247820908526778,0.5
hist_gradient_boosting,42,baseline_only,True,1,2,1,0.2082248091185305,0.0
hist_gradient_boosting,42,baseline_only,True,1,3,3,0.3237592133689596,0.0
hist_gradient_boosting,42,baseline_only,True,1,4,2,0.4750832691032824,1.0
hist_gradient_boosting,42,baseline_only,True,1,5,2,0.5659628452553943,0.5
hist_gradient_boosting,42,baseline_only,True,1,6,5,0.6303040172056349,0.6
hist_gradient_boosting,42,baseline_only,True,1,7,4,0.753226157220258,0.25
hist_gradient_boosting,42,baseline_only,True,1,8,5,0.8590683866886785,0.6
hist_gradient_boosting,42,baseline_only,True,1,9,177,0.994955113922878,0.9096045197740112
hist_gradient_boosting,42,baseline_only,True,2,0,277,0.0017635801135919,0.0288808664259927
hist_gradient_boosting,42,baseline_only,True,2,1,2,0.1286002752116039,0.5
hist_gradient_boosting,42,baseline_only,True,2,2,2,0.2422538822117209,1.0
hist_gradient_boosting,42,baseline_only,True,2,3,4,0.3626024829631649,0.25
hist_gradient_boosting,42,baseline_only,True,2,4,2,0.4337465410939896,0.5
hist_gradient_boosting,42,baseline_only,True,2,5,2,0.5248506428777255,0.0
hist_gradient_boosting,42,baseline_only,True,2,6,1,0.6937180052050397,1.0
hist_gradient_boosting,42,baseline_only,True,2,7,1,0.7916773651974319,1.0
hist_gradient_boosting,42,baseline_only,True,2,8,2,0.8751804120601241,0.5
hist_gradient_boosting,42,baseline_only,True,2,9,53,0.9978925546084256,0.981132075471698
logistic_regression,43,baseline_only,False,0,0,203,0.0057798531850395,0.0
logistic_regression,43,baseline_only,False,0,1,9,0.1502573309137952,0.0
logistic_regression,43,baseline_only,False,0,2,5,0.2747938344244473,0.0
logistic_regression,43,baseline_only,False,0,3,5,0.3493259196357295,0.4
logistic_regression,43,baseline_only,False,0,4,9,0.4407340016279694,0.0
logistic_regression,43,baseline_only,False,0,5,8,0.5682302009599547,0.375
logistic_regression,43,baseline_only,False,0,6,5,0.6645870119947821,0.8
logistic_regression,43,baseline_only,False,0,7,4,0.7555277126356742,0.5
logistic_regression,43,baseline_only,False,0,8,13,0.8726523778215532,0.7692307692307693
logistic_regression,43,baseline_only,False,0,9,85,0.9715407173453278,0.9882352941176472
logistic_regression,43,baseline_only,False,1,0,133,0.0223480040368902,0.0150375939849624
logistic_regression,43,baseline_only,False,1,1,24,0.1419349521079812,0.2916666666666667
logistic_regression,43,baseline_only,False,1,2,7,0.2423998019133668,0.5714285714285714
logistic_regression,43,baseline_only,False,1,3,8,0.3429494543537426,0.375
logistic_regression,43,baseline_only,False,1,4,11,0.4401881528064654,0.6363636363636364
logistic_regression,43,baseline_only,False,1,5,16,0.5523376751375917,0.75
logistic_regression,43,baseline_only,False,1,6,8,0.6604395713310742,0.875
logistic_regression,43,baseline_only,False,1,7,14,0.748736712477461,0.9285714285714286
logistic_regression,43,baseline_only,False,1,8,18,0.8653672933245753,1.0
logistic_regression,43,baseline_only,False,1,9,107,0.971061201947952,0.9345794392523364
logistic_regression,43,baseline_only,False,2,0,252,0.0094349552394769,0.0277777777777777
logistic_regression,43,baseline_only,False,2,1,7,0.1282020697330751,0.0
logistic_regression,43,baseline_only,False,2,2,11,0.2440085450910476,0.0909090909090909
logistic_regression,43,baseline_only,False,2,3,2,0.3494579991771292,0.0
logistic_regression,43,baseline_only,False,2,4,7,0.4558512529034654,0.5714285714285714
logistic_regression,43,baseline_only,False,2,5,2,0.5541412582916827,0.0
logistic_regression,43,baseline_only,False,2,6,3,0.6428942319217058,0.3333333333333333
logistic_regression,43,baseline_only,False,2,7,3,0.7512204552825074,0.3333333333333333
logistic_regression,43,baseline_only,False,2,8,11,0.8406302430382886,0.6363636363636364
logistic_regression,43,baseline_only,False,2,9,48,0.9883272470594514,0.9791666666666666
random_forest,43,baseline_only,False,0,0,129,0.0296124031007751,0.0
random_forest,43,baseline_only,False,0,1,54,0.1459259259259259,0.0
random_forest,43,baseline_only,False,0,2,35,0.2451428571428571,0.0857142857142857
random_forest,43,baseline_only,False,0,3,22,0.3313636363636363,0.1363636363636363
random_forest,43,baseline_only,False,0,4,7,0.445,0.1428571428571428
random_forest,43,baseline_only,False,0,5,1,0.565,0.0
random_forest,43,baseline_only,False,0,6,5,0.6530000000000001,1.0
random_forest,43,baseline_only,False,0,7,22,0.749318181818182,1.0
random_forest,43,baseline_only,False,0,8,38,0.8553947368421053,1.0
random_forest,43,baseline_only,False,0,9,33,0.9298484848484848,1.0
random_forest,43,baseline_only,False,1,0,44,0.0694318181818181,0.0
random_forest,43,baseline_only,False,1,1,63,0.1383333333333333,0.0158730158730158
random_forest,43,baseline_only,False,1,2,30,0.244,0.0666666666666666
random_forest,43,baseline_only,False,1,3,12,0.3425,0.0833333333333333
random_forest,43,baseline_only,False,1,4,13,0.4561538461538462,0.4615384615384615
random_forest,43,baseline_only,False,1,5,23,0.5478260869565217,0.6086956521739131
random_forest,43,baseline_only,False,1,6,48,0.6573958333333333,0.8958333333333334
random_forest,43,baseline_only,False,1,7,82,0.7521341463414635,0.9390243902439024
random_forest,43,baseline_only,False,1,8,30,0.8348333333333333,0.9666666666666668
random_forest,43,baseline_only,False,1,9,1,0.93,0.0
random_forest,43,baseline_only,False,2,0,205,0.0244878048780487,0.0048780487804878
random_forest,43,baseline_only,False,2,1,36,0.1390277777777778,0.0277777777777777
