accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1,group,modalities
0.41040462427745666,0.4122917375042503,0.3970288914015409,0.11898847934895218,0.5905248596138916,1.0685808935658696,0.651032251024615,0.3888888888888889,0.4,0.39436619718309857,0.6173913043478261,0.41040462427745666,0.4930555555555556,0.23577235772357724,0.4264705882352941,0.3036649214659686,"[[42, 30, 33], [41, 71, 61], [25, 14, 29]]",logistic_regression,42,baseline_only,True,6,1211,173,346,1211,173,346,0.4043849913070931,0.36422041018038054,demographic_only,demographic
0.9104046242774566,0.9111882903450397,0.9106207466845518,0.8554564320944398,0.9874395585453124,0.21007768459631918,0.12333951566967752,0.9056603773584906,0.9142857142857143,0.909952606635071,0.9127906976744186,0.9075144508670521,0.9101449275362319,0.9117647058823529,0.9117647058823529,0.9117647058823529,"[[96, 9, 0], [10, 157, 6], [0, 6, 62]]",logistic_regression,42,baseline_only,True,10,1211,173,346,1211,173,346,0.9117908535726419,0.8634072077468304,cognitive_only,cognitive
0.43352601156069365,0.4918192710610256,0.4376312885600811,0.17006070099862935,0.6465670606759898,1.0292008040786056,0.6440591037009047,0.45112781954887216,0.5714285714285714,0.5042016806722689,0.5164835164835165,0.27167630057803466,0.3560606060606061,0.3524590163934426,0.6323529411764706,0.45263157894736844,"[[60, 29, 16], [63, 47, 63], [10, 15, 43]]",logistic_regression,42,baseline_only,True,50,1211,173,346,1211,173,346,0.49507850470685283,0.4502075800187491,mri_structural_only,mri_structural
0.4653179190751445,0.5412290927931867,0.4707278912802227,0.22777174568705516,0.6865628691292714,0.9439907223082386,0.6001185575509859,0.5192307692307693,0.5142857142857142,0.5167464114832536,0.5777777777777777,0.30057803468208094,0.39543726235741444,0.3618421052631579,0.8088235294117647,0.5,"[[54, 25, 26], [50, 52, 71], [0, 13, 55]]",logistic_regression,42,baseline_only,True,2,1211,173,346,1211,173,346,0.44500063934311057,0.3887520683771985,pet_only,pet
0.33815028901734107,0.4439775910364146,0.29532251302629214,0.1157117028637753,0.5831467287907511,1.062258300126609,0.6530903215415664,0.42134831460674155,0.7142857142857143,0.5300353356890459,0.0,0.0,0.0,0.25,0.6176470588235294,0.3559322033898305,"[[75, 0, 30], [77, 0, 96], [26, 0, 42]]",logistic_regression,42,baseline_only,True,1,1211,173,346,1211,173,346,0.3016567263088138,0.3362619483424853,genetic_only,genetic
0.930635838150289,0.9288987656719719,0.929313526529517,0.8878428936101244,0.9865402715683419,0.20182482677419622,0.116072612814874,0.9509803921568627,0.9238095238095239,0.9371980676328503,0.9257142857142857,0.9364161849710982,0.9310344827586207,0.9130434782608695,0.9264705882352942,0.9197080291970803,"[[97, 8, 0], [5, 162, 6], [0, 5, 63]]",logistic_regression,42,baseline_only,True,16,1211,173,346,1211,173,346,0.9204953054757263,0.8596564278807269,demographic_cognitive,demographic|cognitive
0.8930635838150289,0.8936772396819999,0.8905487013032524,0.8279671038486347,0.97690420537749,0.26029867377032073,0.15771391400489648,0.9056603773584906,0.9142857142857143,0.909952606635071,0.9,0.884393063583815,0.892128279883382,0.8571428571428571,0.8823529411764706,0.8695652173913043,"[[96, 9, 0], [10, 153, 10], [0, 8, 60]]",logistic_regression,42,baseline_only,True,66,1211,173,346,1211,173,346,0.9389208209862315,0.8515934675757095,clinical_mri,demographic|cognitive|mri_structural
0.8959537572254336,0.8968518428566031,0.8931321330397363,0.832769453842436,0.976921101492343,0.25863174302130076,0.15633449901439186,0.9065420560747663,0.9238095238095239,0.9150943396226415,0.9053254437869822,0.884393063583815,0.8947368421052632,0.8571428571428571,0.8823529411764706,0.8695652173913043,"[[97, 8, 0], [10, 153, 10], [0, 8, 60]]",logistic_regression,42,baseline_only,True,67,1211,173,346,1211,173,346,0.9389269865986044,0.8515934675757095,clinical_mri_genetic,demographic|cognitive|mri_structural|genetic
0.8930635838150289,0.894925060583,0.8899664311045492,0.8283661129657188,0.9757624476169519,0.2644566049561027,0.15995967578540782,0.9065420560747663,0.9238095238095239,0.9150943396226415,0.9047619047619048,0.8786127167630058,0.8914956011730205,0.8450704225352113,0.8823529411764706,0.8633093525179856,"[[97, 8, 0], [10, 152, 11], [0, 8, 60]]",logistic_regression,42,baseline_only,True,69,1211,173,346,1211,173,346,0.9403852667100359,0.8479883431475574,all_primary_modalities,demographic|cognitive|mri_structural|pet|genetic
0.5317919075144508,0.5710558982745314,0.5336073519099741,0.2922012324477221,0.7250272374640455,0.9284381093937901,0.5914642853589184,0.5338345864661654,0.6761904761904762,0.5966386554621849,0.6086956521739131,0.4046242774566474,0.4861111111111111,0.4387755102040816,0.6323529411764706,0.5180722891566265,"[[71, 27, 7], [55, 70, 48], [7, 18, 43]]",logistic_regression,42,baseline_only,True,59,1211,173,346,1211,173,346,0.5962498835777909,0.5350545573148312,all_without_cognitive,demographic|mri_structural|pet|genetic
